Date,State,Population,Confirmed,Recovered,Deceased,Tested
Mon Mar 16 00:00:00 GMT+05:30 2020,UT,11141000,1,,,
Tue Mar 17 00:00:00 GMT+05:30 2020,AP,52221000,1,,,
Tue Mar 17 00:00:00 GMT+05:30 2020,DL,19814000,10,,,
Tue Mar 17 00:00:00 GMT+05:30 2020,HP,7300000,,,,
Tue Mar 17 00:00:00 GMT+05:30 2020,HR,28672000,15,,,
Tue Mar 17 00:00:00 GMT+05:30 2020,JK,13203000,3,,,
Tue Mar 17 00:00:00 GMT+05:30 2020,KA,65798000,11,,1,
Tue Mar 17 00:00:00 GMT+05:30 2020,KL,35125000,27,3,,
Tue Mar 17 00:00:00 GMT+05:30 2020,LA,293000,8,,,
Tue Mar 17 00:00:00 GMT+05:30 2020,MH,122153000,41,,,
Tue Mar 17 00:00:00 GMT+05:30 2020,OR,43671000,1,,,
Tue Mar 17 00:00:00 GMT+05:30 2020,PB,29859000,1,,,3675493
Tue Mar 17 00:00:00 GMT+05:30 2020,PY,1504000,1,,,
Tue Mar 17 00:00:00 GMT+05:30 2020,RJ,77264000,4,,,
Tue Mar 17 00:00:00 GMT+05:30 2020,TG,37220000,5,,,
Tue Mar 17 00:00:00 GMT+05:30 2020,TN,75695000,1,,,
Tue Mar 17 00:00:00 GMT+05:30 2020,TT,1332900000,146,3,1,6500
Tue Mar 17 00:00:00 GMT+05:30 2020,UP,224979000,15,,,
Tue Mar 17 00:00:00 GMT+05:30 2020,UT,11141000,1,,,
Tue Mar 17 00:00:00 GMT+05:30 2020,WB,96906000,1,,,
Wed Mar 18 00:00:00 GMT+05:30 2020,AP,52221000,1,,,
Wed Mar 18 00:00:00 GMT+05:30 2020,DL,19814000,11,,,
Wed Mar 18 00:00:00 GMT+05:30 2020,HP,7300000,,,,
Wed Mar 18 00:00:00 GMT+05:30 2020,HR,28672000,17,,,
Wed Mar 18 00:00:00 GMT+05:30 2020,JK,13203000,4,,,
Wed Mar 18 00:00:00 GMT+05:30 2020,KA,65798000,14,,1,
Wed Mar 18 00:00:00 GMT+05:30 2020,KL,35125000,27,3,,
Wed Mar 18 00:00:00 GMT+05:30 2020,LA,293000,8,,,
Wed Mar 18 00:00:00 GMT+05:30 2020,MH,122153000,45,,,
Wed Mar 18 00:00:00 GMT+05:30 2020,OR,43671000,1,,,
Wed Mar 18 00:00:00 GMT+05:30 2020,PB,29859000,1,,,3675493
Wed Mar 18 00:00:00 GMT+05:30 2020,PY,1504000,1,,,
Wed Mar 18 00:00:00 GMT+05:30 2020,RJ,77264000,7,,,
Wed Mar 18 00:00:00 GMT+05:30 2020,TG,37220000,13,,,
Wed Mar 18 00:00:00 GMT+05:30 2020,TN,75695000,2,,,
Wed Mar 18 00:00:00 GMT+05:30 2020,TT,1332900000,171,3,1,13125
Wed Mar 18 00:00:00 GMT+05:30 2020,UP,224979000,17,,,
Wed Mar 18 00:00:00 GMT+05:30 2020,UT,11141000,1,,,
Wed Mar 18 00:00:00 GMT+05:30 2020,WB,96906000,1,,,
Thu Mar 19 00:00:00 GMT+05:30 2020,AP,52221000,3,,,
